label,sum_1,sum_2,sum_3,sum_4
0,95,60,87,75
0,98,94,91,77
0,90,73,70,61
0,95,61,80,89
0,78,74,81,98
0,92,65,76,77
0,91,105,94,77
0,95,75,95,95
0,90,80,97,88
0,66,79,66,86
0,83,68,63,104
0,124,76,95,82
0,102,75,97,102
0,75,73,68,79
0,79,59,90,72
0,91,77,94,79
0,76,81,64,88
0,87,68,87,95
0,93,81,74,73
0,92,60,80,86
0,78,79,71,83
0,74,81,66,77
0,94,65,65,73
0,83,76,87,83
0,97,74,87,91
0,96,55,69,75
0,89,76,86,87
0,93,57,96,80
0,84,71,81,87
0,87,61,75,72
0,92,80,78,85
0,101,97,94,86
0,109,75,85,95
0,83,61,77,75
1,28,130,58,108
1,103,102,103,92
1,92,96,25,138
1,105,63,90,97
1,84,114,22,104
1,98,72,112,61
1,117,15,77,125
1,96,88,109,100
1,34,120,30,86
1,100,109,92,100
1,82,43,36,122
1,52,107,0,115
1,51,99,26,95
1,114,86,77,108
1,117,97,87,86
1,101,73,17,126
1,76,100,30,103
1,43,124,43,117
1,86,112,24,137
1,111,85,45,61
1,63,138,26,132
1,110,75,95,101
1,72,65,74,50
1,120,49,114,48
1,56,127,21,109
1,98,27,63,141
1,62,102,84,118
1,90,98,101,85
1,110,78,89,90
1,34,85,45,77
1,83,75,28,106
1,94,87,72,117
1,54,77,55,123
1,85,93,29,82
1,106,36,50,161
1,114,87,92,108
1,56,110,39,93
1,102,98,92,90
1,77,96,17,91
1,44,129,27,132
1,93,72,38,61
1,106,67,115,84
1,66,73,71,71
1,92,96,93,113
1,63,134,77,114
1,94,70,104,40
1,109,60,33,105
1,125,3,80,99
1,119,29,77,82
1,73,89,80,140
1,66,103,6,94
1,83,71,44,88
1,45,115,96,106
1,101,57,63,69
1,112,59,65,52
1,19,133,66,123
1,64,156,9,134
1,50,104,79,119
1,87,14,48,138
1,42,113,55,128
1,104,67,122,50
1,29,115,37,103
1,56,104,22,96
1,73,108,87,113
1,78,114,26,131
1,44,113,63,101
1,119,10,57,132
1,80,84,72,125
1,76,110,111,76
1,86,73,79,102
1,79,42,68,31
1,75,86,66,101
1,94,46,105,90
1,0,111,62,100
1,74,131,64,125
1,89,115,41,113
1,105,11,87,127
1,98,94,82,126
1,82,138,24,145
1,74,75,92,42
1,98,60,57,110
1,85,77,97,90
1,86,77,105,60
1,91,54,81,70
1,76,33,55,146
1,71,96,82,88
1,123,70,44,63
1,85,67,102,74
1,63,88,28,101
1,115,83,104,88
1,60,93,83,85
1,98,118,104,86
1,111,104,110,88
1,90,109,105,83
1,77,82,70,107
1,99,97,101,84
1,133,10,77,108
1,45,111,45,99
1,99,96,93,105
1,70,79,85,61
1,43,115,19,94
1,84,89,78,85
1,75,128,146,51
1,92,86,102,131
1,65,90,70,97
1,125,15,68,136
1,57,111,40,105
1,51,121,41,103
1,105,70,44,78
1,68,119,39,116
1,68,107,29,96
1,44,118,63,101
1,85,87,106,68
1,93,76,24,135
1,70,127,0,138
1,86,90,45,101
1,55,155,0,126
1,50,95,0,112
1,95,104,94,99
1,104,90,98,116
1,93,56,101,39
1,117,70,126,82
1,71,60,80,58
1,59,99,80,77
1,70,105,91,107
1,72,101,80,101
1,32,111,7,121
1,70,122,92,100
1,55,112,12,90
1,93,58,72,67
1,47,120,3,136
1,100,91,105,90
1,64,106,33,104
1,66,92,47,171
1,83,33,42,153
1,38,113,23,102
1,77,95,54,66
1,62,121,11,124
1,79,48,66,39
1,89,47,61,33
1,55,106,41,102
1,96,138,14,138
1,62,105,4,125
1,96,71,98,82
1,80,117,79,132
1,62,87,81,55
1,78,98,86,97
1,85,101,20,140
1,93,75,91,69
1,41,112,17,98
1,104,110,120,62
1,133,73,137,67
1,42,112,18,101
1,67,121,79,111
1,79,107,8,126
1,61,104,81,83
1,78,113,7,109
1,103,39,105,14
1,119,89,115,79
1,93,73,107,39
1,101,52,115,3
1,74,49,73,31
1,80,48,22,107
1,85,45,95,36
1,95,72,84,73
1,77,117,33,123
1,102,100,96,110
1,79,89,69,111
1,122,49,99,84
1,95,78,26,86
1,106,46,97,100
1,36,116,28,99
1,110,67,101,79
1,98,124,18,92
1,86,104,34,98
1,81,138,5,119
1,62,120,14,113
1,77,98,19,90
1,60,117,92,118
1,96,66,44,82
1,90,72,99,53
1,108,41,101,19
1,77,109,103,71
1,68,83,65,112
1,32,104,45,100
1,80,58,80,47
1,69,114,79,95
1,85,85,29,79
1,78,81,98,62
1,95,131,91,89
1,103,56,72,81
1,95,57,32,95
1,85,128,24,139
1,50,108,17,83
1,130,56,74,51
1,92,86,101,97
1,97,58,96,87
1,101,81,118,41
2,116,18,102,94
2,73,64,39,121
2,61,70,49,113
2,96,65,67,106
2,95,21,90,76
2,125,38,93,69
2,62,101,93,99
2,48,76,69,78
2,70,77,63,116
2,74,77,53,112
2,57,57,94,74
2,103,52,69,136
2,73,35,90,62
2,52,94,59,131
2,75,46,72,94
2,106,43,92,58
2,69,51,88,69
2,66,56,70,60
2,76,76,96,106
2,92,53,77,90
2,52,79,43,120
2,94,64,97,67
2,71,87,33,155
2,69,53,51,121
2,102,60,101,77
2,89,58,94,77
2,78,52,81,106
2,115,7,90,62
2,74,66,59,110
2,84,58,76,94
2,96,63,53,126
2,96,55,99,76
2,76,52,50,87
2,79,34,81,63
2,55,109,87,81
2,100,44,96,106
2,55,41,105,59
2,79,60,82,37
2,102,46,117,80
2,127,8,122,74
2,80,92,77,104
2,70,96,109,71
2,77,50,84,47
2,123,61,103,64
2,96,60,40,127
2,92,35,113,67
2,84,68,77,78
2,69,53,81,59
2,62,70,86,111
2,107,70,63,101
2,65,60,66,71
2,52,65,38,132
2,97,37,87,84
2,110,20,115,51
2,71,86,55,125
2,101,60,82,103
2,54,75,79,53
2,109,54,92,92
2,74,77,106,72
2,98,64,66,124
2,79,70,72,125
2,95,25,72,82
2,91,30,67,105
2,115,32,80,65
2,67,50,70,104
2,49,83,56,138
2,65,68,114,80
2,73,71,44,124
2,90,21,89,63
2,98,35,73,89
2,81,79,115,51
2,75,85,69,47
2,86,51,99,95
2,67,71,54,92
2,95,70,53,143
2,68,98,77,95
2,103,63,78,110
2,18,102,89,80
2,61,90,49,63
2,101,59,104,102
2,64,80,84,69
2,84,75,67,111
2,75,65,60,102
2,81,39,43,104
2,49,72,39,106
2,96,8,116,51
2,97,58,85,108
2,112,40,107,41
2,80,70,94,90
2,76,85,86,100
2,66,41,77,75
2,96,67,71,119
2,87,87,68,112
2,90,69,79,97
2,67,37,61,99
2,71,45,80,74
2,128,12,110,60
2,81,54,99,74
2,75,81,105,87
2,122,41,92,69
2,78,87,86,76
2,89,47,110,99
2,104,30,96,64
2,70,74,53,130
2,108,24,98,89
2,74,56,87,60
2,70,89,66,82
2,53,64,89,58
2,85,65,81,118
2,75,72,85,97
2,72,53,49,104
2,114,38,81,92
2,69,74,80,92
2,79,84,66,110
2,88,62,120,56
2,108,38,91,101
2,72,92,49,135
2,112,46,86,96
2,118,19,118,62
2,82,73,37,101
2,64,47,67,99
2,77,53,47,93
2,66,62,71,100
2,71,57,67,78
2,82,64,75,73
2,70,64,38,120
2,63,73,72,60
2,113,21,131,64
2,121,28,110,79
2,78,27,77,77
2,83,16,103,78
2,101,13,93,68
2,95,50,79,85
2,101,81,52,132
2,103,57,117,73
2,96,77,65,110
2,122,29,92,90
2,75,54,67,76
2,87,41,119,78
2,83,73,51,99
2,109,22,116,83
2,83,65,43,114
2,94,43,109,106
2,79,62,82,75
2,59,87,47,85
2,51,76,109,69
2,64,40,48,121
2,62,65,49,115
2,115,35,112,84
2,100,24,74,60
2,88,64,91,55
2,67,73,52,110
2,77,83,102,52
2,90,37,101,111
2,100,56,54,121
2,62,55,66,97
2,82,38,77,73
2,50,79,92,46
2,73,45,87,54
2,72,86,90,99
2,76,98,59,81
2,66,133,95,37
2,102,0,110,55
2,71,82,99,55
2,103,57,85,100
2,83,47,66,76
2,109,14,95,77
2,78,66,41,126
2,47,101,70,46
2,116,42,115,66
2,84,29,69,83
2,69,79,39,80
2,82,49,49,114
2,67,56,78,75
2,85,62,60,109
2,77,74,59,91
2,68,55,76,82
2,108,40,82,98
2,85,58,89,85
2,72,94,74,100
2,74,92,102,69
2,101,23,76,68
2,114,86,60,139
2,94,67,80,106
2,49,63,81,84
2,79,32,66,81
2,39,102,76,77
2,92,90,91,68
2,62,67,56,98
2,103,50,111,81
2,96,98,66,125
2,78,90,87,78
2,76,65,86,51
2,69,62,71,100
2,115,36,77,106
3,51,105,51,110
3,54,107,38,93
3,58,76,55,103
3,77,68,36,92
3,76,86,46,104
3,71,71,46,98
3,98,62,78,98
3,67,96,53,79
3,93,101,47,126
3,91,114,85,71
3,87,75,60,117
3,89,84,67,121
3,89,89,48,95
3,106,105,35,112
3,74,94,59,109
3,62,78,48,92
3,54,73,71,100
3,67,114,50,111
3,70,104,32,88
3,61,105,60,90
3,78,104,55,112
3,92,96,48,106
3,62,70,26,106
3,88,103,44,117
3,58,60,46,94
3,89,116,60,103
3,79,80,56,94
3,97,69,46,114
3,47,104,43,125
3,62,71,45,99
3,58,97,58,119
3,110,88,58,102
3,61,84,32,104
3,96,73,45,76
3,84,88,60,116
3,76,75,43,85
3,54,96,39,117
3,75,83,50,85
3,55,84,52,79
3,74,89,53,97
3,59,95,31,104
3,90,76,42,95
3,74,78,75,89
3,74,84,54,105
3,80,76,62,96
3,52,138,30,100
3,45,81,51,94
3,53,86,60,100
3,30,112,24,119
3,108,80,46,118
3,58,96,20,105
3,70,101,71,43
3,76,92,71,97
3,58,79,54,92
3,52,107,51,117
3,81,78,70,111
3,58,74,47,99
3,73,90,51,96
3,96,57,63,108
3,96,53,59,97
3,70,99,31,94
3,43,101,55,103
3,95,98,59,84
3,70,89,45,122
3,73,49,40,103
3,86,110,42,102
3,58,127,42,111
3,50,106,43,93
3,65,80,58,122
3,90,65,58,98
3,80,88,63,106
3,52,96,47,88
3,62,106,37,88
3,65,76,47,85
3,85,96,60,123
3,80,75,51,95
3,72,70,58,114
3,74,60,39,83
3,79,106,59,109
3,67,88,41,90
3,70,117,36,125
3,58,73,47,98
3,42,106,32,99
3,63,103,30,80
3,77,71,39,104
3,77,108,34,93
3,66,66,60,96
3,66,82,42,95
3,81,102,76,116
3,95,98,59,111
3,60,75,39,88
3,55,87,27,87
3,78,79,59,107
3,57,92,48,95
3,72,86,53,54
3,47,100,50,73
3,90,42,56,107
3,63,108,46,137
3,98,69,69,95
3,62,74,103,89
3,65,82,68,96
3,92,84,57,127
3,81,63,71,98
3,66,97,50,113
3,84,82,53,99
3,76,69,56,116
3,78,121,73,69
3,72,89,75,121
3,67,102,58,112
3,48,105,50,130
3,70,86,54,121
3,84,89,64,118
3,49,98,53,102
3,78,82,42,108
3,73,107,80,100
3,88,58,64,92
3,63,94,45,105
3,74,68,58,99
3,82,88,65,124
3,100,66,68,100
3,52,84,39,85
3,48,80,43,99
3,87,60,47,94
3,90,67,44,94
3,96,92,62,109
3,61,69,34,91
3,59,100,47,88
3,83,77,59,87
3,55,84,58,103
3,78,71,71,101
3,63,72,57,91
3,64,86,24,112
3,91,56,68,104
3,88,85,42,119
3,44,151,35,107
3,46,81,38,108
3,81,87,71,113
3,59,96,38,91
3,85,86,32,101
3,81,100,64,104
3,71,83,37,98
3,86,90,52,87
3,63,80,44,111
3,59,91,39,84
3,56,88,47,110
3,61,63,49,89
3,70,94,77,103
3,99,71,62,126
3,81,71,72,113
3,46,99,34,106
3,57,80,42,95
3,51,98,28,92
3,55,81,40,92
3,63,98,41,66
3,45,93,43,84
3,59,76,42,85
3,46,114,38,78
3,73,73,46,101
3,95,63,57,111
3,82,46,49,102
3,71,75,34,97
3,83,61,41,108
3,97,27,64,98
3,74,93,54,115
3,52,98,38,75
3,76,98,58,102
3,68,100,72,91
3,73,45,40,113
3,50,71,66,76
3,92,80,71,93
3,59,73,43,102
3,79,105,45,128
3,75,85,50,97
3,40,78,41,94
3,61,96,43,88
3,68,79,82,107
3,51,83,34,99
3,63,90,69,100
3,47,97,57,85
3,71,76,48,95
3,65,90,35,115
3,67,60,52,95
3,57,103,36,120
3,76,131,36,94
3,79,57,55,106
3,102,89,56,115
3,84,57,64,94
3,58,83,45,101
3,75,97,40,121
3,71,105,51,94
3,70,127,27,109
3,83,106,34,106
3,74,73,41,112
3,89,55,56,119
3,83,67,55,82
3,96,70,54,115
3,129,47,63,104
3,63,74,47,100
3,56,93,34,87
4,72,82,79,122
4,52,64,46,97
4,92,69,89,91
4,60,65,78,100
4,35,96,109,106
4,75,65,77,68
4,59,62,77,117
4,99,75,82,42
4,36,59,79,85
4,54,35,99,77
4,87,25,54,113
4,41,90,60,134
4,58,50,72,86
4,75,65,48,103
4,41,77,115,124
4,77,52,45,100
4,34,102,77,121
4,98,83,106,37
4,11,74,104,113
4,51,51,95,98
4,50,67,49,92
4,78,66,86,106
4,63,88,60,75
4,27,95,98,110
4,73,67,104,98
4,123,96,79,37
4,62,47,107,108
4,94,127,48,70
4,107,49,73,100
4,56,60,44,107
4,69,34,66,87
4,69,74,51,99
4,54,43,52,111
4,78,104,76,90
4,30,76,110,100
4,46,63,112,92
4,103,57,60,95
4,58,41,87,104
4,51,86,99,114
4,65,51,63,113
4,52,54,74,116
4,67,85,67,91
4,83,61,117,102
4,85,70,94,99
4,90,94,34,76
4,60,92,105,88
4,54,88,97,98
4,37,63,68,98
4,51,44,112,96
4,63,57,103,108
4,108,74,30,121
4,79,59,124,90
4,77,58,108,114
4,100,51,77,64
4,79,81,79,86
4,80,73,79,95
4,48,68,83,98
4,51,85,92,124
4,53,57,80,94
4,82,111,39,89
4,88,99,73,93
4,94,62,96,65
4,63,80,102,91
4,81,83,82,94
4,87,71,100,93
4,37,85,101,102
4,68,29,122,89
4,48,64,83,91
4,78,89,55,110
4,56,90,54,114
4,92,54,119,66
4,49,18,107,87
4,90,51,83,87
4,106,97,85,21
4,70,97,86,84
4,53,49,88,90
4,43,70,117,117
4,59,72,60,106
4,109,118,62,47
4,73,64,73,64
4,80,27,62,89
4,87,29,120,99
4,34,85,104,107
4,93,122,13,77
4,114,115,78,50
4,41,71,100,103
4,35,81,99,108
4,65,67,62,109
4,75,113,46,113
4,69,72,108,98
4,60,57,52,92
4,92,45,91,99
4,73,17,93,109
4,64,48,55,89
4,71,68,81,103
4,98,83,40,95
4,89,62,69,98
4,78,37,110,99
4,62,72,88,127
4,72,40,65,125
4,40,52,54,109
4,65,116,79,98
4,60,100,23,72
4,72,70,91,121
4,40,80,127,111
4,40,43,118,98
4,91,70,57,76
4,85,53,79,99
4,80,26,76,93
4,51,77,117,88
4,35,90,68,132
4,95,60,81,50
4,94,110,43,59
4,99,97,64,61
4,65,76,102,89
4,54,72,83,109
4,90,90,38,79
4,49,52,72,87
4,58,63,88,86
4,82,43,72,64
4,64,80,83,102
4,96,87,40,44
4,54,99,69,122
4,53,56,104,101
4,94,111,71,62
4,76,82,63,120
4,83,89,71,75
4,88,110,65,89
4,94,41,79,72
4,84,70,87,105
4,69,49,107,121
4,58,63,59,94
4,46,57,76,97
4,26,75,82,80
4,55,48,96,130
4,61,93,63,110
4,66,74,100,73
4,73,88,84,108
4,105,78,71,71
4,115,36,88,78
4,90,153,6,97
4,47,53,104,115
4,77,67,92,85
4,80,65,82,67
4,74,65,73,115
4,66,26,82,85
4,100,14,99,138
4,88,113,58,87
4,28,99,99,114
4,86,83,68,99
4,80,82,86,67
4,77,69,111,87
4,59,104,68,110
4,66,24,121,83
4,47,61,66,103
4,94,99,42,98
4,97,45,116,85
4,88,78,98,47
4,65,55,116,107
4,68,52,85,124
4,101,50,59,53
4,89,133,35,101
4,107,53,112,51
4,71,126,29,88
4,59,56,88,67
4,76,70,102,89
4,78,44,83,91
4,88,93,39,26
4,81,70,94,82
4,41,80,73,124
4,94,38,64,69
4,58,77,97,111
4,79,44,73,66
4,77,120,51,109
4,53,57,89,86
4,84,114,64,78
4,59,54,108,89
4,97,73,63,63
4,66,104,18,71
4,57,58,67,105
4,87,85,56,97
4,81,94,50,84
4,58,67,59,91
4,68,35,84,99
4,60,50,81,96
4,48,63,112,105
5,116,83,68,98
5,110,70,47,89
5,85,65,44,86
5,106,55,80,58
5,131,90,84,35
5,108,42,69,94
5,94,39,48,62
5,98,70,56,59
5,112,108,66,93
5,99,69,26,65
5,143,62,93,27
5,121,71,69,98
5,93,53,81,47
5,129,78,44,105
5,97,50,51,76
5,99,60,36,68
5,103,84,37,67
5,100,72,49,80
5,122,45,69,49
5,113,51,48,120
5,117,71,31,58
5,125,60,67,60
5,108,49,43,68
5,100,68,41,100
5,93,53,45,93
5,110,47,89,66
5,90,71,85,43
5,120,61,79,42
5,87,89,49,93
5,104,84,36,119
5,112,50,84,63
5,114,65,55,96
5,108,60,32,103
5,82,102,69,87
5,93,79,44,76
5,92,47,54,78
5,117,68,54,94
5,109,72,40,41
5,116,75,53,112
5,102,80,35,95
5,106,42,79,36
5,76,78,36,79
5,93,59,55,74
5,132,54,67,70
5,95,63,98,84
5,132,65,50,116
5,121,70,41,89
5,101,72,85,45
5,107,56,79,41
5,80,55,51,97
5,107,71,43,58
5,109,68,48,95
5,107,62,49,80
5,114,52,62,84
5,99,37,44,80
5,85,51,58,64
5,128,66,80,80
5,84,51,69,79
5,102,49,38,67
5,111,56,59,83
5,106,61,85,13
5,86,135,26,83
5,107,63,74,77
5,90,83,49,67
5,71,137,32,95
5,101,74,41,81
5,84,123,39,81
5,116,52,66,89
5,121,55,118,28
5,113,52,63,89
5,114,47,52,132
5,81,44,69,35
5,101,62,44,70
5,100,96,46,90
5,131,70,75,80
5,66,71,43,86
5,124,61,40,74
5,125,67,45,79
5,81,76,52,113
5,104,44,60,65
5,114,66,57,98
5,100,71,49,69
5,110,60,62,94
5,119,88,38,74
5,93,99,24,52
5,126,47,55,47
5,126,66,53,90
5,112,110,63,97
5,112,86,72,79
5,91,62,47,71
5,102,40,27,87
5,118,35,43,88
5,135,50,67,77
5,105,52,96,46
5,94,65,34,75
5,129,72,89,104
5,114,89,42,88
5,110,116,52,87
5,116,92,53,84
5,97,68,35,94
5,96,54,52,68
5,118,88,39,78
5,85,88,34,98
5,132,68,44,75
5,107,54,82,62
5,88,69,30,78
5,74,61,56,69
5,129,43,54,69
5,107,60,96,0
5,109,70,45,49
5,128,57,99,22
5,102,33,55,73
5,110,51,75,41
5,80,54,46,84
5,112,74,58,82
5,98,54,59,81
5,117,59,115,8
5,111,77,21,85
5,83,36,74,8
5,136,71,46,94
5,104,37,62,79
5,140,50,69,72
5,127,80,45,49
5,98,55,72,84
5,105,52,52,98
5,113,55,82,75
5,117,43,100,7
5,100,62,35,86
5,89,84,45,103
5,99,65,44,67
5,105,54,42,69
5,109,70,47,91
5,121,66,69,89
5,104,57,42,75
5,88,44,65,80
5,87,54,54,68
5,93,61,34,67
5,126,72,61,83
5,125,97,51,93
5,124,94,45,77
5,124,85,43,87
5,99,75,76,88
5,95,89,47,109
5,128,68,98,0
5,125,60,47,93
5,102,48,60,52
5,100,71,50,70
5,130,55,66,72
5,107,62,25,77
5,103,47,52,67
5,93,85,42,104
5,94,50,81,41
5,75,53,89,66
5,119,74,51,71
5,105,69,72,87
5,101,42,70,81
5,110,64,102,35
5,106,51,91,33
5,125,65,52,83
5,72,76,47,68
5,108,39,84,65
5,127,77,65,81
5,98,55,50,95
5,88,81,39,66
5,95,65,71,59
5,130,72,79,61
5,126,49,59,76
5,105,75,51,59
5,126,55,72,98
5,103,68,32,81
5,80,50,83,78
5,110,62,42,104
5,117,52,74,83
5,102,56,66,74
5,113,72,30,58
5,120,86,40,91
5,106,53,51,82
5,113,45,71,40
5,91,93,48,80
5,115,79,76,50
5,101,85,60,99
5,113,100,27,80
5,102,78,83,84
5,133,74,35,66
5,87,42,60,85
5,115,70,41,80
5,127,58,39,68
6,90,41,94,119
6,87,50,97,106
6,71,21,89,135
6,80,6,99,113
6,88,32,71,107
6,95,2,107,111
6,99,11,123,119
6,83,3,102,90
6,74,0,110,93
6,80,19,91,146
6,79,12,97,111
6,79,10,94,101
6,78,30,103,108
6,90,31,104,148
6,90,17,89,100
6,92,34,88,151
6,98,0,117,129
6,15,76,53,122
6,70,3,94,123
6,74,36,94,139
6,83,0,103,118
6,83,25,93,94
6,76,27,86,124
6,98,6,122,123
6,77,14,96,116
6,79,0,112,100
6,73,1,99,94
6,77,31,87,104
6,71,25,89,124
6,75,30,88,107
6,69,7,78,102
6,68,24,90,131
6,73,24,76,130
6,75,10,95,109
6,65,56,81,157
6,70,15,94,115
6,62,27,85,112
6,80,23,102,133
6,97,15,74,80
6,81,5,86,110
6,84,35,75,115
6,87,14,92,89
6,54,25,70,125
6,91,50,86,101
6,72,26,94,115
6,70,31,81,111
6,88,36,97,137
6,82,11,101,106
6,71,22,82,83
6,89,24,110,108
6,81,5,112,141
6,85,31,78,102
6,82,5,115,126
6,103,10,111,137
6,88,17,109,105
6,92,53,77,110
6,98,22,97,81
6,101,29,103,130
6,83,32,94,132
6,83,43,72,87
6,81,7,103,105
6,66,34,73,103
6,74,9,109,98
6,71,27,99,80
6,63,22,78,94
6,72,9,90,113
6,79,24,128,116
6,71,2,113,106
6,73,26,111,105
6,94,6,112,124
6,84,43,90,142
6,66,10,88,105
6,81,29,81,118
6,68,38,81,91
6,64,7,87,132
6,96,12,121,115
6,69,15,85,99
6,89,44,73,98
6,76,0,84,109
6,66,8,77,110
6,82,3,94,102
6,72,31,85,125
6,80,0,103,121
6,89,22,86,129
6,73,17,93,138
6,74,22,81,113
6,59,36,74,110
6,73,32,91,118
6,61,18,75,115
6,85,13,100,125
6,89,20,93,99
6,69,22,84,123
6,81,21,87,114
6,81,11,110,97
6,89,9,98,100
6,96,17,107,130
6,68,18,80,132
6,89,36,64,99
6,85,11,104,121
6,82,37,103,72
6,78,5,97,138
6,58,31,88,130
6,100,18,87,100
6,56,33,68,113
6,66,20,67,117
6,81,18,86,101
6,81,24,91,104
6,64,57,83,60
6,98,0,123,137
6,79,7,95,109
6,77,20,128,88
6,82,0,112,108
6,73,32,86,91
6,78,26,87,124
6,71,12,81,107
6,76,26,84,114
6,81,38,88,124
6,86,13,90,91
6,96,6,126,134
6,90,9,105,117
6,93,26,105,116
6,70,20,82,120
6,111,45,82,92
6,80,4,98,114
6,90,33,99,124
6,90,40,96,160
6,85,22,89,139
6,70,19,89,104
6,90,59,88,123
6,67,21,78,105
6,84,14,93,114
6,65,29,72,122
6,76,9,104,105
6,97,20,126,112
6,92,26,80,107
6,67,29,88,120
6,99,14,126,116
6,88,25,86,111
6,70,45,88,102
6,74,4,84,116
6,70,6,98,110
6,88,33,87,121
6,71,33,91,90
6,94,34,102,93
6,43,44,72,101
6,85,37,77,81
6,73,1,80,104
6,78,33,85,110
6,74,7,100,115
6,68,35,90,111
6,82,25,80,91
6,78,20,84,118
6,78,25,82,126
6,84,0,113,109
6,80,39,82,116
6,72,0,99,95
6,85,15,82,117
6,62,0,95,114
6,87,47,101,51
6,89,0,128,126
6,79,7,99,121
6,74,36,93,129
6,82,50,79,130
6,84,40,101,145
6,83,21,106,98
6,113,17,127,116
6,87,25,88,134
6,73,58,99,128
6,79,34,99,86
6,83,0,120,100
6,91,31,80,101
6,70,23,88,104
6,83,0,123,101
6,82,28,98,115
6,74,17,97,116
6,68,40,97,141
6,79,24,88,121
6,88,17,97,116
6,73,0,104,117
6,72,42,81,103
6,89,5,110,105
6,72,18,96,104
6,71,38,88,101
6,78,34,84,118
6,67,18,77,96
6,74,21,92,112
6,79,10,100,116
6,101,19,122,125
6,90,61,91,109
6,91,33,88,107
6,78,9,89,107
6,74,0,114,123
6,95,37,85,122
6,90,32,95,113
6,75,38,81,99
7,48,130,115,47
7,84,105,116,7
7,76,87,111,69
7,76,103,115,45
7,28,117,55,62
7,21,115,36,77
7,59,72,90,60
7,69,104,83,39
7,52,126,66,57
7,41,116,75,46
7,59,115,111,56
7,58,134,61,41
7,56,118,85,69
7,104,107,87,14
7,58,109,120,66
7,35,115,98,98
7,40,119,75,71
7,70,126,92,59
7,89,113,95,32
7,47,127,77,63
7,33,92,83,52
7,67,147,70,43
7,65,123,41,82
7,95,112,91,51
7,68,117,94,41
7,52,129,72,65
7,73,117,78,43
7,62,116,102,70
7,41,121,90,70
7,50,160,72,63
7,59,127,54,61
7,50,143,57,31
7,26,111,62,59
7,62,105,99,60
7,113,115,84,11
7,35,130,50,63
7,35,133,103,56
7,12,148,64,88
7,54,146,87,59
7,66,140,95,45
7,55,142,87,32
7,80,126,107,35
7,60,97,71,62
7,44,88,72,54
7,59,125,65,40
7,66,60,98,47
7,58,98,67,48
7,53,72,103,49
7,32,132,59,79
7,42,142,85,69
7,85,101,81,24
7,80,100,96,56
7,47,110,72,32
7,90,135,84,37
7,35,121,59,63
7,76,109,97,56
7,77,143,69,30
7,34,120,53,55
