label,sum_1,sum_2,sum_3,sum_4,sum_5,sum_6,sum_7,sum_8,sum_9,sum_10,sum_11,sum_12,sum_13,sum_14,sum_15,sum_16
0,0,36,34,0,6,30,15,9,10,20,11,16,0,34,43,2
0,0,43,28,0,6,35,18,6,6,24,11,16,0,31,50,4
0,5,52,41,0,16,20,18,18,21,18,11,24,2,44,43,7
0,0,37,45,1,7,39,14,12,11,22,16,16,0,42,51,3
0,4,55,42,0,13,23,26,7,12,29,26,12,0,54,56,1
0,8,43,29,0,13,37,16,9,11,28,22,12,0,43,32,0
0,9,58,30,0,10,43,33,4,10,36,20,14,4,56,46,6
0,0,46,41,0,7,41,12,12,6,20,22,12,0,39,39,0
0,1,60,44,0,12,40,29,14,16,23,20,13,4,51,45,0
0,3,45,45,0,15,30,24,12,8,31,29,6,0,35,38,0
0,0,51,31,2,11,44,38,16,8,27,17,15,1,38,41,4
0,2,47,40,0,6,40,10,10,5,30,24,13,1,51,38,0
0,1,55,34,0,1,50,22,10,3,41,25,11,1,48,52,0
0,0,43,35,0,7,21,25,6,14,19,11,13,0,39,44,3
0,0,48,39,0,8,21,29,7,8,31,15,16,0,45,53,3
0,1,35,39,0,10,21,14,12,14,16,5,17,0,38,33,8
0,5,46,22,0,12,25,28,6,6,27,26,11,0,40,36,0
0,1,46,42,2,18,16,19,21,16,20,13,24,3,46,50,5
0,0,43,23,0,2,52,47,4,11,28,24,12,0,48,48,7
0,0,42,46,2,6,27,38,11,5,26,29,3,0,38,39,0
0,0,40,30,0,4,42,26,10,11,27,16,17,0,47,52,7
0,4,57,11,0,1,13,53,3,8,18,32,10,11,59,35,0
0,0,32,36,0,10,24,33,10,5,30,17,16,0,31,44,9
0,0,34,43,0,0,52,25,2,0,45,24,5,0,34,36,0
0,4,55,39,0,16,34,33,6,13,27,29,8,0,54,44,1
0,1,36,27,0,11,42,28,6,5,34,19,17,0,39,45,1
0,1,49,27,0,10,27,16,7,9,26,11,16,1,46,41,4
0,0,43,42,0,4,49,37,15,0,38,23,10,0,39,37,0
0,0,37,40,0,5,32,24,10,8,21,21,17,0,34,49,4
0,1,48,47,3,19,32,21,20,12,36,17,24,1,47,43,3
0,3,38,45,10,21,27,16,24,6,42,16,24,0,39,50,9
0,0,38,39,2,9,33,23,16,8,35,25,8,0,43,37,0
0,0,46,46,8,2,29,21,16,12,20,30,6,2,48,33,0
0,0,21,48,0,6,19,22,14,10,33,8,17,0,29,55,16
0,0,44,34,0,8,62,40,7,1,48,32,9,0,48,40,1
0,0,30,55,6,5,46,17,20,6,39,20,13,0,37,49,1
0,1,50,34,0,9,40,33,5,9,38,22,19,0,48,52,5
0,5,58,35,0,16,30,40,7,16,27,30,9,4,57,36,0
0,7,54,35,0,15,26,20,9,7,22,29,14,0,50,43,1
0,0,42,36,0,8,25,30,11,13,19,12,16,1,36,44,7
0,0,53,27,0,8,26,27,7,12,20,16,12,2,41,44,0
0,3,46,45,0,13,33,26,16,5,33,20,24,0,42,53,9
0,0,50,41,0,6,35,15,10,11,22,28,11,2,49,43,0
0,11,48,37,0,23,33,26,14,15,24,12,30,0,43,56,12
0,3,48,19,0,13,30,32,5,6,25,11,22,0,39,48,10
0,3,49,31,0,3,36,38,4,3,33,25,10,0,46,42,1
0,2,39,47,0,10,20,17,10,4,21,17,13,0,31,37,0
0,0,44,32,0,3,46,19,6,3,47,25,13,0,46,42,0
0,0,43,36,0,1,40,25,10,3,34,33,8,0,44,46,0
0,0,45,37,0,8,39,19,9,12,22,11,19,0,42,44,3
0,0,47,40,0,12,29,29,9,9,25,19,19,0,36,49,7
0,4,50,61,1,12,45,35,13,8,29,43,8,2,53,31,0
0,1,51,44,0,10,33,38,9,9,30,26,16,0,41,49,1
0,2,49,44,0,12,26,23,12,12,23,16,16,0,43,42,6
0,0,44,35,0,6,35,44,4,8,33,30,5,1,40,41,3
0,4,50,26,0,13,25,49,5,15,19,44,3,0,44,38,0
0,0,42,34,0,10,25,24,14,13,21,22,11,2,45,38,0
0,0,49,44,2,16,22,12,12,12,19,20,16,0,39,42,2
0,0,53,43,0,9,26,23,9,4,24,14,14,0,47,41,2
0,0,38,42,4,10,26,22,13,11,20,37,5,0,35,35,0
0,0,40,24,0,9,21,28,7,9,20,11,18,1,34,41,6
0,2,51,27,0,10,32,40,5,12,30,31,9,0,42,42,1
0,1,48,47,0,9,42,32,7,6,40,27,12,0,44,46,1
0,3,48,41,2,16,24,14,20,16,24,13,20,6,48,44,2
0,3,44,39,0,22,21,23,18,20,24,12,24,3,50,47,5
0,0,35,41,0,1,39,21,11,6,19,28,9,0,43,42,0
0,8,49,30,0,20,28,33,7,6,31,10,20,0,38,53,12
0,1,37,35,2,7,32,6,11,2,25,3,20,0,37,37,5
0,0,36,42,3,9,34,14,11,5,24,25,1,0,35,26,0
0,0,45,30,0,3,35,17,4,9,23,17,9,2,41,37,0
0,2,39,36,0,18,50,31,8,0,48,20,14,0,37,55,6
0,0,46,40,4,7,54,32,13,12,24,35,5,4,50,29,0
0,0,42,17,0,11,49,52,12,14,27,30,12,5,58,39,0
0,0,37,40,0,8,33,24,10,6,38,21,16,0,37,56,5
0,2,39,25,0,10,19,21,10,10,19,14,16,0,42,40,2
0,0,50,39,2,13,27,16,16,12,17,22,6,0,41,33,0
0,1,47,33,0,10,34,16,11,7,28,13,17,0,45,47,9
0,0,44,34,0,5,42,29,6,8,28,26,13,0,47,40,0
0,0,27,32,0,5,40,15,10,5,40,12,17,0,32,47,3
0,0,54,48,1,13,34,38,10,11,33,31,11,3,47,44,0
0,2,43,29,0,12,19,34,8,11,15,18,15,0,34,39,2
0,1,45,37,0,9,29,17,8,4,27,22,16,0,42,49,5
0,0,45,26,0,0,40,34,6,0,32,35,1,0,38,33,0
0,0,47,49,1,8,53,23,14,0,32,21,9,0,33,38,2
0,0,39,40,3,0,40,13,12,6,25,19,11,0,40,39,0
0,1,43,20,0,10,50,46,4,9,48,31,10,0,44,44,2
0,1,46,30,0,12,24,14,12,12,19,18,13,2,46,43,0
0,1,40,31,0,11,23,15,9,10,19,6,17,0,32,40,6
0,6,56,26,0,16,30,44,6,12,32,29,11,3,43,36,2
0,0,43,42,1,8,24,24,14,9,20,13,15,2,42,45,2
1,0,0,46,7,0,29,62,0,7,30,56,0,0,0,42,5
1,0,48,0,0,19,58,3,0,0,28,13,0,0,52,59,27
1,0,39,29,0,2,62,10,0,5,60,0,0,0,40,14,0
1,0,50,25,0,0,55,38,0,0,53,50,0,0,37,47,0
1,5,55,35,0,0,54,52,0,0,48,55,0,0,44,53,0
1,0,34,43,0,0,27,61,0,0,37,49,0,0,44,34,0
1,0,24,33,0,5,54,38,0,2,23,41,0,0,19,46,1
1,0,30,43,0,0,32,44,0,0,43,26,0,0,38,29,0
1,0,34,32,0,0,59,43,0,0,56,31,0,0,35,38,0
1,0,50,37,0,0,54,30,0,2,62,32,0,0,58,18,0
1,0,38,43,0,0,35,63,2,0,43,64,3,0,44,46,0
1,0,33,13,0,0,49,30,0,0,1,37,0,0,35,52,33
1,0,42,48,0,2,60,42,0,0,55,46,0,0,43,58,12
1,0,41,38,0,0,60,14,0,3,64,2,0,0,48,1,0
1,1,45,34,0,12,56,52,0,0,33,45,0,0,44,59,4
1,0,42,49,3,0,48,57,0,3,57,51,0,3,42,32,0
1,0,0,60,3,14,56,64,0,0,0,64,3,0,0,58,13
1,0,39,40,0,7,64,38,0,2,48,45,0,0,39,45,0
1,0,33,62,5,4,58,58,6,0,51,45,0,0,40,44,0
1,1,50,46,0,5,63,43,0,5,60,47,0,1,49,32,0
1,0,36,31,0,0,30,42,0,0,35,35,0,0,36,36,0
1,0,52,14,0,2,52,32,0,0,46,48,0,0,51,48,4
1,0,24,54,0,5,60,58,3,1,23,58,0,0,17,55,0
1,2,42,35,0,0,55,61,0,0,58,64,2,0,35,37,2
1,0,44,27,0,0,53,31,0,3,52,29,0,0,41,54,4
1,0,40,36,0,0,52,50,0,2,63,44,0,0,36,48,5
1,0,37,40,0,0,49,37,0,0,60,24,0,0,45,36,0
1,0,4,55,4,1,39,64,6,5,22,63,1,0,0,57,11
1,2,60,42,0,7,64,31,0,6,64,28,0,5,62,39,0
1,0,20,57,5,1,53,64,5,7,43,61,0,0,14,59,5
1,0,35,38,0,0,39,37,0,0,48,20,0,0,44,22,0
1,0,30,42,0,0,62,44,0,0,63,54,3,0,39,59,15
1,0,40,62,8,0,64,40,0,4,64,32,0,0,52,30,0
1,0,38,35,0,0,32,44,0,0,47,29,0,0,38,32,0
1,0,16,57,4,6,55,56,0,5,19,61,2,0,9,57,3
1,0,27,48,0,4,55,42,0,1,25,43,0,0,19,56,2
1,0,0,43,7,0,36,64,2,5,23,56,0,0,0,40,3
1,0,43,31,0,0,53,40,0,0,46,42,0,0,52,40,0
1,0,39,26,0,0,40,22,0,0,34,24,0,0,32,15,0
1,0,35,31,0,0,37,34,0,0,37,26,0,0,37,24,0
1,0,2,47,0,0,32,38,0,10,35,35,0,0,0,42,0
1,0,21,55,6,1,54,49,0,11,64,37,0,1,35,39,0
1,0,32,31,0,1,52,36,0,6,59,26,0,0,37,48,0
1,0,46,40,0,0,52,54,0,0,40,63,3,0,42,56,4
1,0,18,57,6,8,56,64,11,0,14,64,8,0,10,60,13
1,0,53,29,0,0,57,38,0,0,57,40,0,0,44,39,0
1,0,41,23,0,0,50,31,0,0,48,33,0,0,33,37,0
1,0,40,10,0,0,43,23,0,0,10,41,0,0,32,62,50
1,0,39,42,0,0,51,30,0,0,60,18,0,0,39,35,0
1,0,32,27,0,11,58,46,0,0,0,40,12,0,17,54,20
1,0,0,53,0,4,28,58,0,0,7,61,0,0,0,54,6
1,0,26,45,0,28,57,40,0,0,30,28,0,0,15,33,0
1,0,27,45,0,10,48,56,0,0,0,53,16,0,20,56,15
1,0,24,34,0,0,44,49,0,4,47,64,0,0,14,46,2
1,0,17,53,0,5,55,45,0,0,12,44,0,0,7,46,0
1,0,42,42,0,0,50,54,0,0,53,54,0,0,40,56,3
1,0,22,33,0,7,54,42,0,1,11,51,0,0,16,55,0
1,0,2,57,4,0,17,64,8,3,50,63,7,3,10,52,1
1,0,41,44,0,1,59,37,0,2,62,19,0,0,54,22,0
1,0,0,54,0,3,35,59,0,3,20,50,0,0,0,50,2
1,0,42,45,1,0,35,60,3,0,44,46,0,1,58,25,0
1,0,30,30,0,12,51,42,0,0,17,37,0,0,21,24,0
1,0,27,33,0,17,61,37,0,5,19,38,0,0,20,40,0
1,0,36,27,0,7,50,49,0,0,2,61,9,0,22,55,10
1,0,30,52,14,0,45,60,2,15,64,29,0,11,56,22,0
1,0,45,52,0,0,53,63,3,0,56,59,5,1,47,22,0
1,0,15,47,0,1,46,55,0,11,59,57,0,0,14,57,4
1,0,52,49,0,0,48,59,1,0,40,52,0,0,52,48,0
1,0,17,49,2,0,33,52,1,6,55,48,0,0,18,62,9
1,0,20,55,2,0,25,58,0,2,54,48,0,3,37,55,3
1,0,6,54,0,3,46,52,0,9,30,45,0,0,2,53,4
1,0,23,44,0,0,37,49,0,2,61,38,0,0,20,47,0
1,0,44,32,0,0,40,57,0,0,33,56,0,0,45,29,0
1,0,37,30,0,0,48,47,0,0,60,48,0,0,37,42,0
1,0,10,50,2,11,45,51,0,0,6,44,0,0,0,50,0
1,0,46,38,0,0,52,34,0,0,60,30,0,0,52,31,0
1,0,32,46,4,0,35,64,7,0,49,61,3,0,30,45,2
1,0,32,32,0,0,39,28,0,0,46,24,0,0,34,34,0
1,0,10,51,0,19,56,42,0,5,18,38,0,0,6,44,0
1,0,26,40,0,2,51,49,0,6,40,59,0,0,23,51,1
1,0,46,46,0,0,54,45,0,0,57,50,0,0,48,40,0
1,0,34,43,0,2,58,44,0,2,44,42,0,0,26,63,12
1,0,21,59,1,5,36,60,0,0,8,56,0,0,6,52,5
1,0,0,58,0,7,40,62,0,0,0,64,0,0,3,61,11
1,0,39,27,0,16,57,32,0,0,32,24,0,0,33,28,0
1,0,23,39,0,2,52,43,0,7,40,55,0,0,23,52,0
1,0,28,57,5,12,56,64,12,0,1,64,13,0,13,56,5
1,0,34,33,0,8,61,23,0,7,40,33,0,0,25,48,0
1,0,33,36,0,1,59,20,0,2,62,6,0,0,37,33,0
1,0,50,29,0,0,56,38,0,0,59,34,0,2,54,49,1
1,2,27,59,3,22,47,60,2,0,11,45,0,0,7,47,0
1,0,26,32,0,0,54,52,0,1,46,59,0,0,25,56,10
1,0,14,49,2,2,52,64,4,1,27,64,2,0,11,50,0
1,0,25,57,0,3,52,59,1,13,52,57,0,0,14,62,13
1,0,5,57,0,0,37,56,0,6,47,62,1,0,2,53,12
1,0,48,45,0,0,48,43,0,1,60,40,0,0,48,56,4
1,0,31,41,0,0,28,58,0,0,40,38,0,0,40,39,0
1,0,46,47,0,0,53,50,0,0,50,40,0,1,50,44,0
1,0,11,59,2,1,32,57,0,10,46,47,0,0,7,53,1
1,0,23,47,0,7,56,61,4,2,4,50,22,0,18,54,11
1,0,17,43,0,18,60,35,0,1,16,40,0,0,9,46,0
1,0,3,51,5,4,48,54,2,5,7,48,0,0,0,42,0
1,0,27,57,0,0,33,60,0,4,62,55,0,0,26,57,6
1,0,47,0,0,0,58,11,0,0,27,22,0,0,60,64,41
1,0,38,27,0,0,41,15,0,0,37,16,0,0,31,15,0
1,0,46,35,0,0,19,55,0,0,28,49,0,0,42,48,0
1,0,31,39,0,0,35,53,0,0,13,64,12,0,34,58,37
1,0,1,53,4,1,39,55,0,5,12,51,0,0,0,46,1
1,0,46,7,0,0,52,20,0,0,32,35,0,0,31,61,45
1,0,23,52,0,3,52,46,0,5,51,44,0,0,30,53,0
1,0,39,38,0,0,64,64,0,0,64,60,0,0,39,32,0
1,0,42,26,0,0,51,32,0,0,44,35,0,0,28,32,0
1,0,5,50,0,3,48,54,0,4,15,48,0,0,3,46,2
1,0,47,26,0,0,61,15,0,0,58,8,0,0,43,11,0
1,0,31,26,0,3,55,21,0,0,32,16,0,0,29,17,0
1,2,43,38,0,30,48,32,0,0,18,32,0,0,26,31,0
1,0,11,60,1,8,57,39,0,0,23,44,0,0,7,57,2
1,0,45,21,0,11,63,8,0,0,38,23,0,0,39,54,5
1,0,45,18,0,0,49,28,0,0,56,45,0,0,49,45,0
1,0,11,51,0,5,52,56,0,7,15,51,0,0,7,45,0
1,0,15,45,0,13,57,40,0,3,14,39,0,0,12,40,0
1,0,35,28,0,3,60,32,0,7,25,35,0,0,25,62,13
1,0,3,50,0,4,43,58,0,5,12,44,0,0,0,39,0
1,0,41,2,0,0,46,12,0,0,7,33,0,0,41,61,44
1,0,43,0,0,20,62,15,0,0,20,31,0,0,48,61,44
1,0,40,48,1,0,29,64,1,0,32,50,0,0,47,45,0
1,2,49,39,0,0,51,60,1,0,44,59,0,2,50,49,2
1,0,47,31,0,9,64,18,0,7,64,8,0,0,43,35,5
1,0,0,49,0,0,32,55,0,11,34,53,0,0,0,47,0
1,0,42,9,0,8,56,27,0,0,4,47,0,0,46,64,50
1,0,40,38,0,0,32,62,1,0,38,55,0,0,42,46,0
1,0,38,48,0,0,57,56,0,0,56,57,0,0,38,42,0
1,0,41,34,0,0,54,38,0,0,43,38,0,0,41,35,0
1,0,37,59,2,0,26,64,9,0,32,58,2,0,45,54,0
1,3,55,0,0,17,58,10,0,0,28,24,0,0,49,57,27
1,0,0,62,5,0,28,61,2,9,46,53,0,0,3,55,0
1,0,1,60,3,12,49,58,0,1,10,58,0,0,0,58,8
1,0,14,58,0,14,50,55,0,2,2,53,0,0,3,56,0
1,0,1,58,1,5,51,52,0,9,27,47,0,0,4,52,6
1,0,6,56,19,5,44,60,20,0,0,59,6,0,0,59,2
1,0,3,47,0,6,42,52,0,4,18,41,0,0,4,49,5
1,0,35,33,0,0,38,56,0,0,46,64,7,0,34,42,27
1,0,51,36,0,4,62,34,0,2,64,35,0,4,56,47,0
1,0,44,7,0,0,32,26,0,0,15,43,0,0,40,60,43
1,0,46,34,0,0,32,47,0,0,47,34,0,0,51,28,0
1,0,33,32,0,6,56,25,0,0,16,37,0,0,16,58,0
1,0,1,55,18,4,51,37,0,1,34,45,0,0,4,48,0
1,0,6,56,1,2,37,54,0,5,30,47,0,0,10,51,1
1,3,52,37,0,3,57,46,0,1,59,49,0,0,44,39,0
1,0,18,55,3,8,60,46,0,1,19,43,0,0,14,55,0
1,0,39,29,0,16,54,31,0,0,10,50,0,0,23,55,0
1,0,2,57,2,4,37,63,2,9,33,53,0,0,1,60,4
1,0,2,62,5,9,45,59,1,3,18,51,0,0,0,58,0
1,0,32,56,5,0,38,61,0,2,51,52,0,0,39,48,0
1,0,22,45,0,1,47,60,0,6,56,53,0,0,29,51,3
1,0,42,50,0,0,60,48,0,2,56,44,0,0,34,44,2
1,5,52,50,0,8,52,47,0,0,42,34,0,0,45,48,4
1,0,7,58,9,6,50,64,7,3,18,64,0,0,5,61,7
1,0,39,27,0,4,58,30,0,0,34,32,0,0,29,37,0
1,0,22,57,3,5,58,64,4,1,15,64,5,0,8,62,8
1,0,12,59,11,13,56,57,11,1,4,55,6,0,0,52,6
1,0,15,53,0,11,51,43,0,0,11,43,0,0,6,48,0
1,1,26,59,20,3,34,61,16,0,4,64,7,0,5,61,2
1,0,31,47,0,1,61,26,0,7,63,5,0,0,37,34,0
1,0,0,45,3,4,38,64,0,5,13,52,0,0,0,49,0
1,0,6,56,5,0,45,60,0,9,30,53,0,0,2,50,0
1,0,7,52,0,8,47,53,0,0,4,58,0,0,0,56,11
1,0,1,47,0,6,43,48,0,0,0,49,0,0,0,56,7
1,0,30,18,0,1,49,30,0,3,4,41,0,0,15,58,8
1,0,36,30,0,0,44,28,0,0,46,23,0,0,34,24,0
1,2,32,49,0,12,33,52,6,0,0,36,23,0,8,53,14
1,0,29,39,0,10,57,27,0,0,28,29,0,0,16,52,1
1,0,0,49,1,7,45,57,0,0,0,56,0,0,0,53,6
1,0,6,48,0,8,49,40,0,0,20,43,0,0,8,58,0
1,0,48,33,0,1,61,42,0,2,53,55,1,0,40,45,0
1,0,38,26,0,0,47,19,0,0,53,18,0,0,42,18,0
1,0,8,59,0,1,35,54,0,10,48,50,0,0,5,51,0
1,0,16,37,0,0,38,40,0,5,36,48,0,0,14,63,12
1,0,41,28,0,25,64,28,0,4,39,27,0,0,31,24,0
1,0,48,43,1,3,60,58,2,7,64,43,0,0,39,45,0
1,0,34,27,0,0,40,22,0,0,41,19,0,0,32,12,0
1,0,14,57,0,16,54,57,0,5,12,54,0,0,5,50,0
1,0,45,32,0,0,41,41,0,0,36,51,0,0,43,51,0
1,0,45,40,0,0,40,47,0,0,57,31,0,0,49,37,0
1,0,38,38,0,0,56,32,0,0,61,16,0,0,43,24,0
1,0,46,2,0,9,62,13,0,13,27,37,0,0,37,61,27
1,0,29,45,0,0,42,51,0,0,49,45,0,0,33,43,0
1,0,0,33,12,0,0,55,11,0,30,57,3,4,28,37,3
1,0,15,47,0,6,56,48,0,5,34,34,0,0,15,32,0
1,0,0,43,12,1,33,57,8,7,23,42,0,0,0,41,3
1,0,40,42,0,9,43,54,0,0,2,61,11,0,23,57,9
1,0,44,44,0,0,46,54,0,1,57,46,0,0,43,39,0
1,0,42,2,0,16,61,8,0,0,16,25,0,0,41,62,45
1,0,10,54,0,8,60,60,0,0,23,61,0,0,3,61,9
1,4,46,23,0,8,64,26,0,1,58,38,0,0,40,46,0
1,0,10,52,0,2,52,54,0,8,21,50,0,0,4,54,0
1,0,0,50,3,1,42,60,2,4,15,43,0,0,0,47,4
1,0,31,35,0,0,44,51,0,0,35,49,0,0,31,49,3
2,3,55,26,0,16,27,34,0,0,26,25,4,0,56,49,25
2,4,57,18,0,16,18,32,0,0,26,15,0,0,53,56,14
2,4,48,31,0,1,9,36,0,0,11,35,0,0,45,45,18
2,0,41,35,0,1,31,29,0,0,0,38,0,0,39,52,31
2,5,46,40,0,5,8,40,0,0,41,14,0,0,43,44,11
2,21,53,28,0,7,9,41,0,0,13,37,0,7,59,46,14
2,9,58,17,0,14,34,18,0,0,47,3,3,4,61,55,23
2,14,61,2,0,8,44,6,0,1,49,0,0,11,61,63,11
2,0,52,31,0,0,21,40,0,0,0,43,0,0,44,59,22
2,10,56,37,0,8,22,40,0,0,4,45,0,8,53,50,15
2,9,54,30,0,1,21,35,0,0,30,20,0,0,51,53,45
2,2,41,33,0,0,6,30,0,0,24,21,0,1,56,43,20
2,4,40,47,1,16,15,37,0,0,31,10,0,0,38,30,7
2,0,45,38,0,0,4,45,0,0,16,42,0,0,40,52,44
2,10,50,11,0,2,11,24,0,0,32,6,0,4,54,46,10
2,1,49,30,0,3,12,30,0,0,23,14,0,0,43,53,4
2,7,59,28,0,0,4,46,0,0,3,46,0,0,50,57,27
2,0,52,10,0,0,27,24,0,0,28,11,0,5,48,40,12
2,0,59,21,0,0,26,41,0,0,1,40,0,1,58,49,20
2,3,54,16,0,0,7,31,0,0,18,23,0,0,49,51,25
2,0,53,53,1,0,9,47,0,0,40,15,2,0,53,55,27
2,3,53,42,0,2,14,44,0,0,33,18,0,1,56,48,33
2,2,57,44,0,0,22,35,0,4,51,2,0,9,51,42,7
2,10,57,28,0,4,9,42,0,0,26,21,0,5,63,49,20
2,11,54,32,0,2,9,44,0,0,29,24,0,5,62,53,29
2,5,54,6,0,9,27,19,0,0,24,15,0,1,47,57,10
2,10,59,12,0,0,41,8,0,8,42,0,0,13,52,40,11
2,6,56,7,0,15,24,16,0,0,24,7,0,2,50,47,14
2,0,55,22,0,0,20,32,0,0,21,16,0,0,46,43,17
2,11,51,15,0,5,8,31,0,0,16,27,0,3,53,50,17
2,8,58,18,0,11,19,47,0,0,10,34,0,4,53,59,13
